(0,0)
(698, 64)
(471.41342, 100)
(573.22228, 200)
(785.12223, 300)
(873.03179, 400)
(930.02694, 500)
(991.02113, 600)
(1041.9701, 700)
(960.90538, 800)
(944.90519, 900)
(1022.2601, 1000)
(999.92591, 1100)
(981.07294, 1200)
(1010.2099, 1300)
(1015.0317, 1400)
(1011.4529, 1500)
(969.9711, 1600)
(993.43427, 1700)
(999.92372, 1800)
(978.72938, 1900)
(959.36664, 2000)
(984.41529, 2100)
(971.05587, 2200)
(960.9548, 2300)
(948.69851, 2400)
(985.30169, 2500)
(953.04521, 2600)
(966.92915, 2700)
(961.65892, 2800)
(973.4869, 2900)
(960.07073, 3000)
(947.76864, 3100)
(960.96811, 3200)
(949.34707, 3300)
(947.45024, 3400)
(933.84817, 3500)
(926.52377, 3600)
(921.77984, 3700)
(912.32953, 3800)
(903.23473, 3900)
(904.10404, 4000)
(888.41017, 4100)
(890.1007, 4200)
(882.15337, 4300)
(872.58789, 4400)
(885.97325, 4500)
(874.14165, 4600)
(873.90851, 4700)
(879.54345, 4800)
(861.83301, 4900)
(873.39808, 5000)
(855.44141, 5100)
(841.14845, 5200)
(847.11429, 5300)
(846.51078, 5400)
(848.94078, 5500)
(860.03766, 5600)
(856.38528, 5700)
(864.69521, 5800)
(871.89001, 5900)
(874.51586, 6000)
(870.31236, 6100)
(886.97588, 6200)
(883.56683, 6300)
(887.50966, 6400)
(883.18378, 6500)
(879.04815, 6600)
(878.76988, 6700)
(873.78915, 6800)
(860.1241, 6900)
(849.55136, 7000)
(851.26264, 7100)
(837.68689, 7200)
(841.53958, 7300)
(817.4576, 7400)
(829.06628, 7500)
(824.10177, 7600)
(833.04606, 7700)
(833.28441, 7800)
(839.81032, 7900)
(836.61916, 8000)
(845.07373, 8100)
(846.41722, 8200)
(836.87865, 8300)
(857.37643, 8400)
(847.80288, 8500)
(850.57665, 8600)
(847.9176, 8700)
(833.54523, 8800)
(830.76187, 8900)
(820.69545, 9000)
(816.72681, 9100)
(797.72647, 9200)
(798.54484, 9300)
(786.08203, 9400)
(791.08157, 9500)
(778.67135, 9600)
(786.19838, 9700)
(776.64374, 9800)
(787.41995, 9900)
(785.2982, 10000)
(792.51624, 10064)
(783.52569, 10100)
(778.59508, 10200)
(770.3897, 10300)
(776.19848, 10400)
(771.99541, 10500)
(777.65359, 10600)
(766.96218, 10700)
(769.10319, 10800)
(766.89882, 10900)
(759.74864, 11000)
(758.94852, 11100)
(766.6601, 11200)
(764.96298, 11300)
(759.28994, 11400)
(766.40046, 11500)
(751.49916, 11600)
(764.60997, 11700)
(759.96893, 11800)
(755.59037, 11900)
(738.55036, 12000)
(752.6948, 12100)
(739.61469, 12200)
(741.27569, 12300)
(744.64475, 12400)
(740.50538, 12500)
(737.85785, 12600)
(738.4594, 12700)
(725.20583, 12800)
(728.20519, 12900)
(730.299, 13000)
(721.14888, 13100)
(722.38954, 13200)
(716.16869, 13300)
(715.59403, 13400)
(718.7003, 13500)
(712.61374, 13600)
(719.16773, 13700)
(717.60864, 13800)
(712.5622, 13900)
(710.49788, 14000)
(707.55424, 14100)
(707.62208, 14200)
(699.99762, 14300)
(697.1374, 14400)
(702.554, 14500)
(702.3997, 14600)
(698.53523, 14700)
(689.2824, 14800)
(694.68984, 14900)
(699.22184, 15000)
(691.6411, 15064)
