(written by ASE)

2304 atoms
1 atom types

0.0      60.533997323817964  xlo xhi
0.0      52.423979475045591  ylo yhi
-10      44.198048819842896  zlo zhi
     30.266998661908982                       0                       0  xy xz yz

Masses

1 12.0107  # C

Atoms # charge

87 1 0.0 10.08899956 13.10599487 17.72278154
88 1 0.0 11.3501245 12.37788404 18.237633639999999
89 1 0.0 11.3501245 13.834105689999998 15.663373129999998
90 1 0.0 11.3501245 15.290327339999997 16.178225229999999
91 1 0.0 11.3501245 15.290327339999997 17.72278154
92 1 0.0 12.611249450000001 14.56221652 18.237633639999999
93 1 0.0 12.611249450000001 16.01843817 15.663373129999998
94 1 0.0 12.611249450000001 17.474659819999999 16.178225229999999
95 1 0.0 12.611249450000001 17.474659819999999 17.72278154
96 1 0.0 13.872374389999999 16.746549000000002 18.237633639999999
97 1 0.0 11.3501245 9.4654407399999982 15.663373129999998
